supernova name,redshift,magnitude,stretch,color
'05D1em',0.864497,24.277329,0.231091,-0.141676
'05D1eo',0.735608,24.300208,-1.464408,-0.051696
'05D1er',0.858507,24.622355,0.414445,0.075253
'05D1hk',0.261984,21.189797,1.380255,-0.010342
'05D1hm',0.585743,24.087789,1.097063,0.147914
'05D1if',0.76158,24.040031,0.177122,-0.05695
'05D1ix',0.4888,22.868484,0.545038,-0.068405
'05D1iz',0.858516,24.427101,1.158479,-0.136633
'05D1ke',0.688656,23.604428,0.22777,-0.107541
'05D1kl',0.558743,24.148746,0.658004,0.133007
'05D2ab',0.324532,21.993375,-0.146918,-0.039628
'05D2ac',0.480704,22.671051,1.123507,-0.054059
'05D2ah',0.185371,20.758955,-0.075113,0.001222
'05D2ay',0.922221,24.664061,-0.433873,0.026835
'05D2bt',0.681942,23.499419,0.54088,-0.150704
'05D2bv',0.475707,22.715329,-0.007188,-0.104
'05D2bw',0.92221,24.380224,-0.310684,-0.13841
'05D2by',0.893183,24.576,1.324338,-0.027739
'05D2cb',0.428646,23.396803,0.900599,0.158626
'05D2ci',0.631882,23.605938,-0.930861,0.078491
'05D2ck',0.69996,24.456174,-2.641811,0.005752
'05D2ct',0.736007,24.383943,0.319916,0.09884
'05D2dt',0.575823,23.652601,0.172239,0.033631
'05D2dw',0.418633,22.46895,1.143228,-0.01334
'05D2dy',0.511746,22.907226,1.237597,-0.117279
'05D2eb',0.535771,22.991731,0.880642,-0.055537
'05D2ec',0.641893,23.677878,-0.210581,-0.103447
'05D2fq',0.734996,24.000974,0.836161,-0.075547
'05D2hc',0.35156,22.684908,-0.674399,0.037449
'05D2he',0.60986,23.927615,0.148906,0.064417
'05D2ie',0.349557,22.228291,-0.089736,-0.074922
'05D2le',0.701969,23.957522,0.509414,-0.013323
'05D2mp',0.355261,22.387222,1.277236,0.013757
'05D2my',0.98328,24.666688,1.176787,-0.035549
'05D2nn',0.872152,24.426592,-0.742621,-0.196303
'05D2nt',0.75903,24.106956,1.512514,-0.013177
'05D2ob',0.92622,24.811277,1.139028,0.056398
'05D3ax',0.643642,23.6153,0.590653,-0.062996
'05D3cf',0.419569,22.938058,-0.257956,0.008142
'05D3ci',0.515587,23.62109,2.120426,0.166871
'05D3cq',0.890729,24.223935,-0.725251,-0.206887
'05D3cx',0.805696,23.903235,0.668773,-0.161241
'05D3dd',0.480568,22.948758,-0.207015,-0.029175
'05D3dh',0.800697,24.207672,0.087341,0.120557
'05D3gp',0.580604,23.516572,-0.457982,-0.061699
'05D3gv',0.715652,23.992197,-0.806348,-0.064355
'05D3ha',0.805695,24.393736,-0.185837,0.089062
'05D3hh',0.766684,24.298577,0.502459,-0.002723
'05D3hs',0.664638,23.512551,0.557724,-0.175195
'05D3ht',0.901736,24.408439,0.902173,-0.154347
'05D3jb',0.745665,23.919586,0.939225,-0.063082
'05D3jh',0.71868,23.72368,-0.614033,-0.137754
'05D3jk',0.73669,23.691578,0.773664,-0.131975
'05D3jq',0.5796,23.295137,1.48851,0.001938
'05D3jr',0.370531,22.62937,-0.892539,0.04904
'05D3km',0.96074,24.718789,0.377544,-0.159049
'05D3kp',0.850729,24.140236,1.278161,-0.144534
'05D3kt',0.64864,23.974975,-0.449789,0.056579
'05D3kx',0.219462,20.852122,0.698942,-0.039907
'05D3la',0.936755,24.494384,-0.191832,-0.103022
'05D3lb',0.647639,23.898505,0.310288,0.032706
'05D3lc',0.461564,22.975035,-0.747912,-0.046199
'05D3lr',0.600603,23.845284,0.178065,0.105799
'05D3mh',0.670654,24.064257,0.57067,0.054159
'05D3mn',0.760698,24.031872,-0.119797,-0.04134
'05D3mq',0.246492,21.50567,-0.683772,-0.000463
'05D3mx',0.470573,23.023421,-1.668401,-0.078211
'05D3ne',0.169455,20.293205,-1.463743,-0.143152
'05D4af',0.497379,23.102539,0.144823,-0.025937
'05D4ag',0.638234,23.888138,0.488591,0.096406
'05D4av',0.507371,23.559122,0.884552,0.167894
'05D4be',0.535327,22.871803,0.907857,-0.145357
'05D4bf',0.587285,23.613598,0.086435,-0.005707
'05D4bi',0.773081,24.049363,1.040135,-0.140416
'05D4bj',0.699166,24.107325,0.169319,0.059883
'05D4bm',0.370511,22.212225,0.253822,-0.065948
'05D4cn',0.761089,24.081977,1.042996,-0.017217
'05D4cq',0.699169,23.733171,0.688169,-0.12201
'05D4cs',0.78806,23.975847,1.395798,-0.109284
'05D4cw',0.373513,22.144613,-0.833093,-0.129299
'05D4dt',0.405478,22.801779,-0.988887,-0.047526
'05D4dw',0.852994,24.43276,0.333205,-0.008102
'05D4dy',0.808048,24.608413,-0.414682,-0.126427
'05D4ef',0.603272,23.829442,-1.558373,-0.066074
'05D4ej',0.58329,23.712643,0.226659,-0.025602
'05D4ek',0.534335,23.294733,0.262525,0.069733
'05D4ev',0.72014,24.235443,-1.101731,-0.027446
'05D4ff',0.400485,22.587347,-0.725286,-0.004662
'05D4fg',0.837004,24.189244,0.282605,-0.15787
'05D4fo',0.371508,22.438189,-0.700921,-0.051433
'05D4gw',0.806041,24.46554,0.028914,0.037161
'05D4hn',0.840005,24.190851,1.229904,0.069868
'06D2bk',0.500728,23.276559,0.470647,0.005322
